epoch,stage,train_loss,learning_rate,grad_norm,is_best,val_mean_cost,val_mean_gap_vs_greedy,val_gap_std,val_win_rate,val_mean_gap_vs_ilp,val_mean_cost_random
1,5,3.475166967127058,0.0009999570876009797,1.2028488556343275,True,3815.0437208739518,2.135284349058682,2.0185556058371206,86.0,-103.04910597161584,4874.418851084769
2,5,3.3638326616287233,0.0009998283577698152,1.8489867747359334,False,3815.808602970898,2.119185518581852,2.032908876196074,85.6,-103.07723479452198,4874.3952027554515
3,5,3.324409016609192,0.0009996138326029312,2.0147111282467205,True,3793.999105979681,2.6801784470259555,2.004205006960035,91.60000000000001,-101.91611644080002,4878.208658846557
4,5,3.3015462773111133,0.0009993135489234813,2.0547666954104895,True,3780.7825117543935,3.0176203164552082,1.9092905007357917,95.39999999999999,-101.2099580511468,4874.640119178474
5,5,3.2912218719058566,0.0009989275582750437,1.978450244950994,True,3772.138822970748,3.2402626219652664,1.9851040013135415,95.39999999999999,-100.7539195891486,4864.647866639972
6,5,3.2807941126293607,0.000998455926912754,1.9264463527164493,False,3773.3630185783504,3.2087267335819,1.8680424916769092,96.0,-100.82156505340777,4875.177061415196
7,10,2.9711539021068147,0.0009978987357919464,1.8632242618191517,False,3773.1592752504944,3.214698290814881,1.9245881702365875,95.8,-100.80817052511577,4872.677884407878
8,10,2.961828263176812,0.0009972560805542525,1.8684052677815168,True,3767.3247944705486,3.3640737262701954,1.8816886510471578,97.2,-100.50490790444313,4860.422357348621
9,10,2.9601654335657757,0.000996528071511182,1.8414597492234956,False,3769.0602034303547,3.3224046941258973,1.9129045977084187,97.0,-100.58771500218516,4869.2498161488775
10,10,2.957933507760366,0.0009957148336251897,1.8624711407226102,False,3775.4470581694245,3.1582188835539644,1.9781832733054658,96.2,-100.92826332335069,4870.815061568379
11,10,2.9534459536340503,0.0009948165064882404,1.8185540632498625,False,3773.540866845727,3.2069336939343067,1.880079538583326,96.6,-100.82481618008099,4881.39879704088
12,10,2.9531836676597596,0.0009938332442978167,1.7885950956209091,False,3770.9031235771777,3.2743174350152806,1.9028091673216594,97.2,-100.69122602592869,4859.527697835326
13,20,2.6119383908907574,0.0009927652158304768,1.6109877102751926,True,3765.779669362724,3.4078209129266033,1.8483528918838732,98.0,-100.41179892697829,4865.525946871161
14,20,2.607322117805481,0.000991612604412878,1.6257920539400295,False,3774.3554364467263,3.1842851988110104,2.0116776058701693,95.6,-100.87487937760356,4862.426823046684
15,20,2.607184622340732,0.0009903756078903036,1.6305968353845721,True,3765.1693687575457,3.421273851124448,1.8552773554551603,98.6,-100.38160676442462,4872.360610426307
16,20,2.603211991204156,0.0009890544385927076,1.631466079033501,False,3765.748196377933,3.407232224532867,1.8666700227283555,97.2,-100.41170554964556,4875.5291275324225
17,20,2.6028326500786676,0.0009876493232982653,1.6120759751614626,False,3765.7215077838896,3.4061864195590346,1.8760656649028262,97.2,-100.41466061738774,4876.142132051289
18,20,2.600413805484772,0.0009861605031944503,1.581192171594813,False,3767.279829865277,3.3675906432696694,1.9306545984778722,97.0,-100.49407408742255,4866.825125955463
19,20,2.6001328621970283,0.0009845882338366306,1.5672838235833082,False,3766.0150027767418,3.401274793273429,1.8850377269275516,97.0,-100.42582462950377,4869.942251265287
20,20,2.598880672931671,0.0009829327851042082,1.5678175247371937,False,3768.378683779061,3.3391873733455153,1.9493473014123615,97.39999999999999,-100.54822220991424,4872.517718611836
21,20,2.597473312748803,0.0009811944411542875,1.5536703108470775,False,3765.6312723576425,3.410869554057341,1.8852949007036421,97.6,-100.40018376715048,4880.947018658698
22,20,2.595759668721093,0.000979373500372906,1.5260786603653198,True,3764.5034339669346,3.4382491796345085,1.835917424706882,98.0,-100.34685754483405,4873.403186346114
23,20,2.5964572037061053,0.000977470275323813,1.502541540147568,False,3765.705214167297,3.4095209826443504,1.8979737823917957,97.39999999999999,-100.40652248187375,4864.364504428982
24,20,2.5958923012945387,0.0009754850926948228,1.5133914196893545,False,3766.801350315869,3.3791644800729475,1.8948577395352921,97.39999999999999,-100.47324287461412,4873.764921607137
25,20,2.5946928061379326,0.0009734182932417309,1.5147567176480066,True,3762.655548324883,3.4868011808785915,1.8730971988322993,98.4,-100.24340033729304,4858.73086336714
26,20,2.5935684304767186,0.0009712702317298267,1.4624552999889449,False,3764.514177254021,3.435332197817378,1.8959714709013504,97.39999999999999,-100.34730130512384,4870.771615518749
27,20,2.5931419683562384,0.0009690412768730014,1.4644636437693879,False,3775.434451118171,3.1572782990703296,1.9895285322843628,95.8,-100.93389522184589,4867.874811982334
28,20,2.59300058444341,0.0009667318112704522,1.4713718485662823,False,3765.0997065927386,3.422421321703959,1.910478070716022,97.8,-100.37708082633714,4861.052663544774
29,20,2.593411708831787,0.0009643422313410225,1.442336999184285,False,3766.667147090495,3.3830106141588896,1.91993121509426,97.6,-100.4583757058914,4859.812145330548
30,20,2.590203500906626,0.0009618729472551401,1.4299526732302474,False,3768.3046059227586,3.3407077436786103,1.9704069014073051,96.2,-100.53992418235124,4875.957048942685
